Location,Order,N,E,Desc,Final
Jiuquan,1,39.7329,98.4945,Route 1 (Dou Gu),0
Yumen,2,40.2918,97.0457,Route 1 (Dou Gu),0
Hami,3,42.8184,93.5151,Route 1 (Dou Gu),0
Wuyuan,1,40.5803,109.8297,Route 2 (Dou Xian),0
Jilusai,2,40.3305,107.0082,Route 2 (Dou Xian),0
Jargalant,3,48.5744,99.3661,Route 2 (Dou Xian),0
Uvs Lake,4,52,90,Route 2 (Dou Xian),0
Hami,1,42.8184,93.5151,Route 3 (Ban Gu),0
Yanqi,2,42.0598,86.5741,Route 3 (Ban Gu),0
Qiemo,3,38.1455,85.5297,Route 3 (Ban Gu),0
Hetian,4,37.1142,79.9222,Route 3 (Ban Gu),0
Kashi,5,39.4677,75.9938,Route 3 (Ban Gu),0
Shache,6,38.4142,77.2458,Route 3 (Ban Gu),0
Kuche,7,41.7179,82.962,Route 3 (Ban Gu),0
Yanqi,8,42.0598,86.5741,Route 3 (Ban Gu),0
