Location,Order,N,E,Desc,Final
Linxia County,1,35.4924,102.9939,Route 1 (To Xinjiang),0
Xinhai County,2,35.5886,99.988,Route 1 (To Xinjiang),0
Gyaring Lake,3,34.9511,97.3085,Route 1 (To Xinjiang),0
Yumen Guan,4,40.353,93.8649,Route 1 (To Xinjiang),0
Hami,5,42.8184,93.8649,Route 1 (To Xinjiang),0
Shanshan County,6,42.8687,90.2133,Route 1 (To Xinjiang),0
Turpan,7,42.9541,89.1897,Route 1 (To Xinjiang),0
Urumqi,8,43.8256,87.6169,Route 1 (To Xinjiang),0
Ghulja,9,43.9771,81.5275,Route 1 (To Xinjiang),0
Ili River,10,43.9168,81.3241,Route 1 (To Xinjiang),0
Beijing,1,39.9042,116.4074,Route 2 (Toward the NE/Manchuria and Korea),0
Shanhai Guan,2,39.9788,119.7758,Route 2 (Toward the NE/Manchuria and Korea),0
Yingzhou,3,41.5263,120.4042,Route 2 (Toward the NE/Manchuria and Korea),0
Bozhuokou,4,41.5331,121.2391,Route 2 (Toward the NE/Manchuria and Korea),0
Liaoze,5,41.5947,121.7987,Route 2 (Toward the NE/Manchuria and Korea),0
Xincheng,6,40.85,122.75,Route 2 (Toward the NE/Manchuria and Korea),0
Shenyang,7,41.8,123.4,Route 2 (Toward the NE/Manchuria and Korea),0
Yincheng,8,42.2234,123.729,Route 2 (Toward the NE/Manchuria and Korea),0
Momi,9,41.9226,124.098,Route 2 (Toward the NE/Manchuria and Korea),0
Nansu,10,41.7343,125.04,Route 2 (Toward the NE/Manchuria and Korea),0
Wanducheng,11,41.1253,126.194,Route 2 (Toward the NE/Manchuria and Korea),0
Pyonyang,12,39.0392,125.7625,Route 2 (Toward the NE/Manchuria and Korea),0
Seoul,13,37.5665,126.978,Route 2 (Toward the NE/Manchuria and Korea),0
