Location,Order,N,E,Desc,Final
Chengdu,1,30.5728,104.0668,Route 1 (To Xinjiang),0
Kangding,2,29.9984,101.9571,Route 1 (To Xinjiang),0
Litang,3,29.996,100.2698,Route 1 (To Xinjiang),0
Ba'an,4,30.0047,99.1107,Route 1 (To Xinjiang),0
Jiali,5,30.6408,93.2325,Route 1 (To Xinjiang),0
Lhasa,6,29.6525,91.1721,Route 1 (To Xinjiang),0
Shigatse,7,29.2669,88.8806,Route 1 (To Xinjiang),0
Youyiguan,1,21.9766,106.7156,Route 2 (To Vietnam),0
Lang Son,2,21.8537,106.7615,Route 2 (To Vietnam),0
Hanoi,3,21.0278,105.8342,Route 2 (To Vietnam),0
Maguan,1,23.0129,104.3942,Route 2 (To Vietnam),0
Huyện Tuyên Hóa,2,17.9319,105.9723,Route 2 (To Vietnam),0
